University of Kansas,KS,25932,92.9,122,19245,https://www.ku.edu/
University of St. Thomas,MN,39594,86.6,123,6240,https://www.stthomas.edu/
The Catholic University of America,DC,42536,74,124,3480,https://www.catholic.edu/
DePaul University,IL,37626,72,125,15961,https://www.depaul.edu/
Duquesne University,PA,35062,73,126,5961,http://www.duq.edu/
Howard University,DC,24908,49,127,6883,https://www2.howard.edu/
University of Arizona,AZ,30025,76,128,33732,http://www.arizona.edu/
Arizona State University--Tempe,AZ,25458,83,129,41828,https://www.asu.edu/
Clarkson University,NY,46132,62.1,130,3257,https://www.clarkson.edu/
Colorado State University,CO,28374,81,131,24433,https://www.colostate.edu/
New School,NY,45535,66.6,132,6792,https://www.newschool.edu/
Hofstra University,NY,42160,61.6,133,6824,https://www.hofstra.edu/
University of Kentucky,KY,26334,72.2,134,22705,http://www.uky.edu/
Kansas State University,KS,23429,95,135,19859,https://www.k-state.edu/
Louisiana State University--Baton Rouge,LA,27005,77,136,26156,http://www.lsu.edu/
Mercer University,GA,35130,66.7,137,4667,https://www.mercer.edu/
New Jersey Institute of Technology,NJ,30326,60.8,138,8008,https://www.njit.edu/
Rutgers University--Newark,NJ,29480,62.7,139,7713,https://www.newark.rutgers.edu/
University of Arkansas,AR,23168,62,140,22159,https://www.uark.edu/
University of Cincinnati,OH,26334,76,141,25054,http://www.uc.edu/
University of Mississippi,MS,22012,81,142,18785,https://www.olemiss.edu/
George Mason University,VA,32582,69,143,23062,https://www2.gmu.edu/
Oregon State University,OR,28846,77.8,144,24612,https://oregonstate.edu/
Washington State University,WA,25673,80,145,24470,https://wsu.edu/
Adelphi University,NY,34034,72,146,4852,https://www.adelphi.edu/
Ohio University,OH,21208,74,147,23513,https://www.ohio.edu/
San Diego State University,CA,18244,34.2,148,29234,https://www.sdsu.edu/
St. John Fisher College,NY,31880,67.9,149,2805,https://www.sjfc.edu/
University at Albany--SUNY,NY,22244,56,150,12908,https://www.albany.edu/
University of Texas--Dallas,TX,33654,52,151,15575,https://www.utdallas.edu/
Illinois State University,IL,20886,80,152,18426,https://illinoisstate.edu/
Immaculata University,PA,35210,75.9,153,1790,https://www.immaculata.edu/
Oklahoma State University,OK,20978,75,154,21046,https://go.okstate.edu/
University of California--Merced,CA,39944,73.7,155,6237,https://www.ucmerced.edu/
University of Illinois--Chicago,IL,26526,77,156,17575,https://www.uic.edu/
University of La Verne,CA,39900,46.6,157,2864,https://laverne.edu/
University of Massachusetts--Lowell,MA,29125,57,158,13266,https://www.uml.edu/
Seattle Pacific University,WA,38940,83.4,159,3202,http://www.spu.edu/
University of Alabama--Birmingham,AL,17654,87,160,11511,http://www.uab.edu/home/
University of Maryland--Baltimore County,MD,24492,59,161,11243,https://www.umbc.edu/
University of Rhode Island,RI,28852,71,162,13641,https://www.uri.edu/
University of South Florida,FL,17325,47.5,163,31111,http://www.usf.edu/
Biola University,CA,36696,75.4,164,4225,https://www.biola.edu/
Maryville University of St. Louis,MO,27958,72,165,2795,https://www.maryville.edu/
Missouri University of Science & Technology,MO,26152,85.9,166,6841,https://www.mst.edu/
St. John's University,NY,39460,62.5,167,16210,https://www.stjohns.edu/
Virginia Commonwealth University,VA,31608,60,168,24051,https://www.vcu.edu/
Union University,TN,30420,68.6,169,2829,https://www.uu.edu/
University of Hawaii--Manoa,HI,33764,79,170,13689,https://manoa.hawaii.edu/
Edgewood College,WI,27530,76.2,171,1813,https://edgewood.edu/
Florida Institute of Technology,FL,40446,61.6,172,3586,https://www.fit.edu/
University of Idaho,ID,22040,67.5,173,9116,https://www.uidaho.edu/
University of Louisville,KY,24626,72,174,15769,https://www.louisville.edu/
University of Wyoming,WY,16215,97.7,175,10045,http://www.uwyo.edu/
Ball State University,IN,25428,59.9,176,16602,https://cms.bsu.edu/
Lipscomb University,TN,29756,55.6,177,3030,https://www.lipscomb.edu/
Mississippi State University,MS,20142,71,178,17421,https://www.msstate.edu/
Montclair State University,NJ,20318,66.8,179,16336,https://www.montclair.edu/
Texas Tech University,TX,22861,66.1,180,29237,https://www.ttu.edu/
University of Central Florida,FL,22467,49,181,54513,https://www.ucf.edu/
University of New Mexico,NM,21302,45,182,20522,https://www.unm.edu/
Andrews University,MI,27684,39,183,1733,https://www.andrews.edu/
Azusa Pacific University,CA,36120,81,184,5883,https://www.apu.edu/
University of Maine,ME,29498,82.6,185,9297,https://umaine.edu/
West Virginia University,WV,21432,85.8,186,22498,https://www.wvu.edu/
Widener University,PA,42870,70,187,3554,https://www.widener.edu/
Kent State University,OH,18376,84.4,188,23607,https://www.kent.edu/
North Dakota State University,ND,19790,82.7,189,12037,https://www.ndsu.edu/
Pace University,NY,42772,66,190,8747,https://www.pace.edu/
Robert Morris University,PA,28250,76.2,191,4497,https://www.rmu.edu/
Suffolk University,MA,35578,82.4,192,5565,http://www.suffolk.edu/
University of Hartford,CT,37790,72.1,193,5246,http://www.hartford.edu/
Bowling Green State University,OH,18332,53.4,194,14334,https://www.bgsu.edu/
University of Houston,TX,25410,60,195,34716,http://www.uh.edu/
Western Michigan University,MI,25713,84,196,18567,https://wmich.edu/
Indiana University-Purdue University--Indianapolis,IN,29791,70.5,197,21985,https://www.iupui.edu/
Lesley University,MA,25750,71.5,198,1520,https://lesley.edu/
University of Alabama--Huntsville,AL,20622,76,199,6013,https://www.uah.edu/
University of Colorado--Denver,CO,29334,67,200,14036,http://www.ucdenver.edu/
University of Nevada--Reno,NV,21052,83.9,201,17770,http://www.unr.edu/
California State University--Fullerton,CA,17596,42,202,33144,http://www.fullerton.edu/
Central Michigan University,MI,23670,69.3,203,20498,https://www.cmich.edu/
Louisiana Tech University,LA,25851,65,204,10682,http://www.latech.edu/
South Dakota State University,SD,11403,92,205,11007,https://www.sdstate.edu/
University of Alaska--Fairbanks,AK,22469,73,206,7610,https://www.uaf.edu/
University of North Carolina--Charlotte,NC,20193,64.1,207,22732,https://www.uncc.edu/
University of North Dakota,ND,18899,86,208,11577,https://und.edu/
University of South Dakota,SD,11688,88.8,209,7435,https://www.usd.edu/
East Carolina University,NC,22904,77.3,210,23039,https://www.ecu.edu/
Montana State University,MT,23042,83.9,211,13707,http://www.montana.edu/
Old Dominion University,VA,27028,81.9,212,20101,https://www.odu.edu/
University of Missouri--Kansas City,MO,22714,64.3,213,11253,https://www.umkc.edu/
Ashland University,OH,20392,72.6,214,3716,https://www.ashland.edu/
Dallas Baptist University,TX,26180,46.2,215,3315,http://www.dbu.edu/
Northern Illinois University,IL,23799,50.9,216,15027,https://www.niu.edu/
Nova Southeastern University,FL,27660,48.8,217,4641,http://www.nova.edu/
Southern Illinois University--Carbondale,IL,27130,81.5,218,13031,https://siu.edu/
University of Montana,MT,24562,92.7,219,8732,http://www.umt.edu/
Benedictine University,IL,32170,77.2,220,3347,http://www.ben.edu/
California State University--Fresno,CA,17209,58,221,21482,http://www.csufresno.edu/
Gardner-Webb University,NC,29850,67.1,222,2615,http://www.gardner-webb.edu/
New Mexico State University,NM,21234,69.6,223,12526,https://nmsu.edu/
Shenandoah University,VA,31322,82.6,224,2010,https://www.su.edu/
Tennessee Technological University,TN,24800,94.4,225,9801,https://www.tntech.edu/
University of Massachusetts--Boston,MA,32023,70.8,226,12949,https://www.umb.edu/
University of Massachusetts--Dartmouth,MA,19270,71,227,7295,https://www.umassd.edu/
University of Missouri--St. Louis,MO,26277,75.8,228,13569,https://www.umsl.edu/
University of North Carolina--Greensboro,NC,21595,59,229,15951,https://www.uncg.edu/
University of Southern Mississippi,MS,16094,66.7,230,11840,https://home.usm.edu/
Utah State University,UT,19772,97.8,231,25259,https://www.usu.edu/
